Home,Team_Rate,Opp_Rate,Pts_per_Ply,TO_Margin,Net_YPP,Net_Pts,Pass_YPA,Rush_YPA,ToP_Diff,Outcome,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
1,92.0,110.7,0.24615384615384617,0,-0.11000000000000032,2,1.4523806065760458,-0.9130430812856168,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,127.4,123.1,0.3333333333333333,0,0.25,-10,-0.30434769376187226,-0.464285548469447,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,79.7,60.6,0.32786885245901637,0,-0.009999999999999787,-10,-1.1428568163266237,-0.5384613313610264,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,64.2,59.7,0.35384615384615387,0,-1.7399999999999998,-3,-1.4545450137742382,-1.5312495214845243,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,86.4,48.8,0.3448275862068966,0,0.6000000000000005,3,-2.279999088000365,0.6363634435262292,0.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,109.5,49.1,0.5230769230769231,0,2.7399999999999998,28,5.090906776860556,2.093022769064472,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,75.1,126.9,0.2328767123287671,0,-0.6099999999999994,-3,0.47368408587260896,2.4285707346940755,0.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,119.3,80.4,0.3770491803278688,0,3.0599999999999996,3,6.472220424383215,-1.399999440000224,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,60.6,75.9,0.42857142857142855,0,0.009999999999999787,10,1.081080788897084,0.4242422956841528,0.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,72.4,125.5,0.10909090909090909,0,-3.3600000000000003,-25,-3.7428560734696927,-3.39999830000085,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,90.4,66.1,0.37333333333333335,0,0.0600000000000005,1,-0.3448274673008733,1.7391300567108572,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,68.5,87.1,0.4576271186440678,0,-0.0600000000000005,-1,0.2941175605536586,-3.199998720000512,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,63.2,79.4,0.05084745762711865,0,-2.9699999999999998,-16,-3.8333320555559816,-2.4482750178362007,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,49.1,100.8,0.10714285714285714,0,-2.7399999999999998,-28,-3.8620676337697817,-3.333332098765889,0.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,38.3,47.4,0.16279069767441862,0,-1.5700000000000003,-5,-6.636360619836082,-5.380949818595324,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,115.3,89.7,0.2545454545454545,0,0.11000000000000032,-2,-2.0333326555557814,0.8399996640001344,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,126.7,69.7,0.543859649122807,0,3.3600000000000003,25,5.458331059028725,2.0606054361801704,0.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,141.4,107.8,0.603448275862069,0,0.4400000000000004,1,-3.9696957667588584,1.99999920000032,0.0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,108.3,141.4,0.4533333333333333,0,-0.4400000000000004,-1,2.3392852965561968,-2.6315775623275988,0.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,116.8,110.8,0.3614457831325301,0,-0.8300000000000001,6,1.6136359969009098,0.7435895529257556,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,112.3,113.8,0.46153846153846156,0,0.8300000000000001,-6,-2.290321841831664,-1.3809517233563222,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,124.9,95.1,0.45,0,0.71,-3,-0.2499999107143176,1.7187494628907927,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,50.5,120.3,0.13157894736842105,0,-2.2700000000000005,-17,-0.7173911483932286,-0.5666664777778407,0.0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,125.8,48.6,0.48214285714285715,0,2.2700000000000005,17,1.2222217695474928,0.5862066944114847,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,88.3,64.3,0.5087719298245614,0,2.6999999999999997,20,-1.7499991250004376,3.8918908400295025,0.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,128.8,117.8,0.45,0,0.4399999999999995,5,2.1363626652896976,-0.39473673822717414,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,132.3,39.0,0.3835616438356164,0,1.9000000000000004,5,2.2916657118059534,3.6122441607664975,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,115.5,85.0,0.5774647887323944,0,1.5699999999999998,17,2.2051276397108612,2.1874993164064636,0.0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,83.3,85.0,0.38235294117647056,0,-0.35000000000000053,6,-0.43181808367770824,-1.6249993229169488,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,69.7,107.8,0.22580645161290322,0,1.88,-10,3.4871785930311296,0.6086953875237445,0.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,68.9,84.8,0.12857142857142856,0,-2.6999999999999997,-20,0.8536583283760174,-4.965515529132576,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,63.7,105.0,0.2653061224489796,0,-1.2199999999999998,-8,-4.555553868313382,-2.9545441115708586,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,77.6,89.3,0.46,0,-0.8499999999999996,1,-2.4615375147932634,-4.874997968750846,0.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,90.2,114.6,0.4067796610169492,0,-1.5699999999999998,-17,-2.60605981634551,-2.692306656805132,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,158.3,72.8,0.7592592592592593,0,2.6399999999999997,31,3.789471689751742,0.14285710204082797,0.0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,144.8,87.2,0.48214285714285715,0,0.4299999999999997,6,-1.2916661284724464,-1.1562496386719878,0.0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,109.3,69.7,0.43636363636363634,0,-1.88,10,-6.181815371902104,-0.4242422956841528,0.0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
